SUDT ACCESSPORT LOG FILE - Monitor mode

Монитор: COM4
Задать время: 2017-05-13, 22:35:26
Имя компьютера: NEON
Версия системы:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

1	22:34:24.606	0.00004668	wdtmon3.exe	IRP_MJ_CREATE                       	COM4	SUCCESS	Port Opened	
2	22:34:24.606	0.00045693	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
3	22:34:24.606	0.00002261	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
4	22:34:24.606	0.00008862	wdtmon3.exe	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
5	22:34:24.606	0.00035628	wdtmon3.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
6	22:34:24.606	0.00000328	wdtmon3.exe	IOCTL_SERIAL_SET_CHARS              	COM4	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0xB8, XoffChar: 0xC3	
7	22:34:24.606	0.00000146	wdtmon3.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 4096, XoffLimit: 4096	
8	22:34:24.606	0.00000146	wdtmon3.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM4	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 0	
9	22:34:24.606	0.00000255	wdtmon3.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM4	SUCCESS	Mask: RXCHAR	
10	22:34:24.606	0.00000000	wdtmon3.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM4			
11	22:34:24.606	0.00004121	wdtmon3.exe	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 2, Data: 7E 55 	
12	22:34:24.606	0.00000620	wdtmon3.exe	IRP_MJ_READ                         	COM4	SUCCESS	Length: 3, Data: 7E 41 0A 	
13	22:34:24.606	0.00024871	wdtmon3.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM4	CANCELLED		
14	22:34:24.606	0.00040479	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
15	22:34:24.606	0.00004303	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
16	22:34:24.606	0.00016520	wdtmon3.exe	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
17	22:34:24.606	0.00033258	wdtmon3.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
18	22:34:24.606	0.00011706	wdtmon3.exe	IOCTL_SERIAL_SET_CHARS              	COM4	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0xB8, XoffChar: 0xC3	
19	22:34:24.606	0.00015717	wdtmon3.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 4096, XoffLimit: 4096	
20	22:34:24.606	0.00005507	wdtmon3.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM4	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: -1, ReadTotalTimeoutConstant: 3000, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 3000	
21	22:34:24.606	0.00018926	wdtmon3.exe	IRP_MJ_CLOSE                        	COM4	SUCCESS	Port Closed	
22	22:34:24.606	0.00003866	wdtmon3.exe	IRP_MJ_CREATE                       	COM4	SUCCESS	Port Opened	
23	22:34:24.606	0.00026730	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
