"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:08:48,4067512","GPU-Z.exe","1748","CreateFile","C:\Windows\Prefetch\GPU-Z.EXE-586063B7.pf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: None, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4067880","GPU-Z.exe","1748","QueryStandardInformationFile","C:\Windows\Prefetch\GPU-Z.EXE-586063B7.pf","SUCCESS","AllocationSize: 143 360, EndOfFile: 139 382, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:08:48,4068170","GPU-Z.exe","1748","ReadFile","C:\Windows\Prefetch\GPU-Z.EXE-586063B7.pf","SUCCESS","Offset: 0, Length: 139 382, Priority: Normal"
"15:08:48,4070351","GPU-Z.exe","1748","CloseFile","C:\Windows\Prefetch\GPU-Z.EXE-586063B7.pf","SUCCESS",""
"15:08:48,4071277","GPU-Z.exe","1748","CreateFile","C:","SUCCESS","Desired Access: Read Attributes, Write Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Complete If Oplocked, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4071971","GPU-Z.exe","1748","QueryInformationVolume","C:","SUCCESS","VolumeCreationTime: 19.08.2015 17:05:03, VolumeSerialNumber: 9249-E26C, SupportsObjects: True, VolumeLabel: "
"15:08:48,4072362","GPU-Z.exe","1748","FileSystemControl","C:","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4078506","GPU-Z.exe","1748","CreateFile","C:\Program Files (x86)","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4078976","GPU-Z.exe","1748","SetBasicInformationFile","C:\Program Files (x86)","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4079217","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Program Files (x86)","SUCCESS","IndexNumber: 0x1000000000100"
"15:08:48,4079559","GPU-Z.exe","1748","FileSystemControl","C:\Program Files (x86)","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4080051","GPU-Z.exe","1748","CloseFile","C:\Program Files (x86)","SUCCESS",""
"15:08:48,4081499","GPU-Z.exe","1748","CreateFile","C:\Program Files (x86)\GPU-Z","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4081934","GPU-Z.exe","1748","SetBasicInformationFile","C:\Program Files (x86)\GPU-Z","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4082276","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Program Files (x86)\GPU-Z","SUCCESS","IndexNumber: 0x100000001034e"
"15:08:48,4082601","GPU-Z.exe","1748","FileSystemControl","C:\Program Files (x86)\GPU-Z","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4082983","GPU-Z.exe","1748","CloseFile","C:\Program Files (x86)\GPU-Z","SUCCESS",""
"15:08:48,4084611","GPU-Z.exe","1748","CreateFile","C:\Program Files (x86)\Windows Kits","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4085063","GPU-Z.exe","1748","SetBasicInformationFile","C:\Program Files (x86)\Windows Kits","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4085309","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Program Files (x86)\Windows Kits","SUCCESS","IndexNumber: 0x1000000021dad"
"15:08:48,4085669","GPU-Z.exe","1748","FileSystemControl","C:\Program Files (x86)\Windows Kits","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4085902","GPU-Z.exe","1748","CloseFile","C:\Program Files (x86)\Windows Kits","SUCCESS",""
"15:08:48,4087561","GPU-Z.exe","1748","CreateFile","C:\Program Files (x86)\Windows Kits\8.1","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4088048","GPU-Z.exe","1748","SetBasicInformationFile","C:\Program Files (x86)\Windows Kits\8.1","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4088403","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Program Files (x86)\Windows Kits\8.1","SUCCESS","IndexNumber: 0x100000002890d"
"15:08:48,4088702","GPU-Z.exe","1748","FileSystemControl","C:\Program Files (x86)\Windows Kits\8.1","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4089158","GPU-Z.exe","1748","CloseFile","C:\Program Files (x86)\Windows Kits\8.1","SUCCESS",""
"15:08:48,4090764","GPU-Z.exe","1748","CreateFile","C:\Users","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4091818","GPU-Z.exe","1748","SetBasicInformationFile","C:\Users","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4092064","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Users","SUCCESS","IndexNumber: 0x10000000001e1"
"15:08:48,4092309","GPU-Z.exe","1748","FileSystemControl","C:\Users","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4092726","GPU-Z.exe","1748","CloseFile","C:\Users","SUCCESS",""
"15:08:48,4094223","GPU-Z.exe","1748","CreateFile","C:\Users\Admin","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4094846","GPU-Z.exe","1748","SetBasicInformationFile","C:\Users\Admin","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4095132","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Users\Admin","SUCCESS","IndexNumber: 0x6000000000038"
"15:08:48,4095527","GPU-Z.exe","1748","FileSystemControl","C:\Users\Admin","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4095961","GPU-Z.exe","1748","CloseFile","C:\Users\Admin","SUCCESS",""
"15:08:48,4097673","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4098546","GPU-Z.exe","1748","SetBasicInformationFile","C:\Users\Admin\AppData","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4098906","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Users\Admin\AppData","SUCCESS","IndexNumber: 0x20000000001ee"
"15:08:48,4099279","GPU-Z.exe","1748","FileSystemControl","C:\Users\Admin\AppData","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4099547","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData","SUCCESS",""
"15:08:48,4101245","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4102049","GPU-Z.exe","1748","SetBasicInformationFile","C:\Users\Admin\AppData\Local","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4103282","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Users\Admin\AppData\Local","SUCCESS","IndexNumber: 0x2000000000201"
"15:08:48,4103620","GPU-Z.exe","1748","FileSystemControl","C:\Users\Admin\AppData\Local","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4104129","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local","SUCCESS",""
"15:08:48,4106236","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4106863","GPU-Z.exe","1748","SetBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4107447","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Users\Admin\AppData\Local\Microsoft","SUCCESS","IndexNumber: 0x2000000000203"
"15:08:48,4107908","GPU-Z.exe","1748","FileSystemControl","C:\Users\Admin\AppData\Local\Microsoft","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4108417","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft","SUCCESS",""
"15:08:48,4110243","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4110747","GPU-Z.exe","1748","SetBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4111002","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows","SUCCESS","IndexNumber: 0x2000000000204"
"15:08:48,4111292","GPU-Z.exe","1748","FileSystemControl","C:\Users\Admin\AppData\Local\Microsoft\Windows","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4111744","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows","SUCCESS",""
"15:08:48,4113236","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4113684","GPU-Z.exe","1748","SetBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4114039","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS","IndexNumber: 0x2000000000206"
"15:08:48,4114627","GPU-Z.exe","1748","FileSystemControl","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4114978","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History","SUCCESS",""
"15:08:48,4116765","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:48,4117366","GPU-Z.exe","1748","SetBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5","SUCCESS","CreationTime: 01.01.1601 4:59:59, LastAccessTime: 01.01.1601 4:59:59, LastWriteTime: 01.01.1601 4:59:59, ChangeTime: 01.01.1601 4:59:59, FileAttributes: n/a"
"15:08:48,4117660","GPU-Z.exe","1748","QueryFileInternalInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5","SUCCESS","IndexNumber: 0x2000000004506"
"15:08:48,4118191","GPU-Z.exe","1748","FileSystemControl","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"15:08:48,4122190","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5","SUCCESS",""
